id	category	english_name	korean_name	english_description	korean_description	confidence	risk_note
cyoa	misc	CYOA Choices	CYOA 선택지	Generates interactive Choose Your Own Adventure choices after each assistant message. Click a choice to send it as your response. Available in Roleplay chats. Add the Agent in Chat Settings → Agents → Misc Agents for Roleplay mode.	각 어시스턴트 메시지 뒤에 대화형 Choose Your Own Adventure 선택지를 생성합니다. 선택지를 클릭하면 사용자의 응답으로 전송됩니다. Roleplay 채팅에서 사용할 수 있습니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 기타 에이전트에 에이전트를 추가하세요.	medium	CYOA는 약어 제품 표기로 유지했고 풀어 쓴 명칭도 원문 그대로 보존했습니다.
echo-chamber	misc	Echo Chamber	에코 챔버	Simulates a live streaming-style chat reacting to your roleplay in real time. Add the Agent in Chat Settings → Agents → Misc Agents for Roleplay mode.	롤플레이에 실시간으로 반응하는 라이브 스트리밍풍 채팅을 시뮬레이션합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 기타 에이전트에 에이전트를 추가하세요.	high	과거 용어와 일치합니다.
expression	tracker	Expression Engine	표현 엔진	Detects character emotions and selects VN sprites/expressions. Add the Agent in Chat Settings → Agents → Tracker Agents for Roleplay mode.	캐릭터의 감정을 감지하고 VN 스프라이트/표정을 선택합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 트래커 에이전트에 에이전트를 추가하세요.	high	"Expression은 표정으로 좁혀 번역할 수도 있으나 기존 에이전트명 ""표현 엔진""을 유지했습니다."
gacha-forge	misc	Gacha Forge	Gacha Forge	A complete gacha game mode. Describe a world and Gacha Forge builds the rest: banners to pull on, a cast the model writes and paints for you, story chapters told by a visual-novel narrator, and the battles, gear and events that grow around them. Install it, restart Marinara Engine when prompted, then open Home → Gacha Forge.	완전한 가챠 게임 모드입니다. 세계를 설명하면 Gacha Forge가 나머지를 만듭니다: 뽑기를 진행할 배너, 모델이 글을 쓰고 그림을 그려 주는 등장인물, 비주얼 노벨 내레이터가 들려주는 스토리 챕터, 그리고 그 주위를 확장하는 전투, 장비, 이벤트. 설치하고 안내가 나오면 Marinara Engine을 다시 시작한 다음 홈 → Gacha Forge를 여세요.	high	Gacha Forge는 제품명으로 번역하지 않았습니다.
haptic	misc	Haptic Feedback	햅틱 피드백	Analyzes narrative content and controls every supported action and pattern on connected intimate toys in real time. Requires Intiface Central running locally; connect your toy there first. Add as both a Command and an Agent in Chat Settings → Agents → Commands/Misc Agents for Conversation, Roleplay, and Game modes.	서사 콘텐츠를 분석하고 연결된 성인용 기기에서 지원되는 모든 동작과 패턴을 실시간으로 제어합니다. 로컬에서 실행 중인 Intiface Central이 필요합니다. 먼저 그곳에서 기기를 연결하세요. Conversation, Roleplay, Game 모드에서 채팅 설정 → 에이전트 → 명령어/기타 에이전트에 명령어와 에이전트로 모두 추가하세요.	medium	"intimate toys를 명확성을 위해 ""성인용 기기""로 옮겼습니다. 제품명 Intiface Central은 유지했습니다."
illustrator	misc	Illustrator	Illustrator	Creates images and videos, with optional automatic scene backgrounds for Roleplay location changes. Add as both a Command and an Agent in Chat Settings → Agents → Commands/Misc Agents/Illustrator for Conversation, Roleplay, and Game modes.	이미지와 동영상을 생성하며, Roleplay에서 장소가 바뀔 때 장면 배경을 자동 생성하는 선택 기능도 제공합니다. Conversation, Roleplay, Game 모드에서 채팅 설정 → 에이전트 → 명령어/기타 에이전트/Illustrator에 명령어와 에이전트로 모두 추가하세요.	medium	"현재 UI에서 제품명 Illustrator를 영문으로 유지하는 관례를 따랐습니다. 과거 용어집의 ""일러스트레이터""와는 다릅니다."
html	misc	Immersive HTML	몰입형 HTML	Post-processes the latest Roleplay response with diegetic HTML/CSS/JS visual artifacts without changing the story meaning. Add the Agent in Chat Settings → Agents → Misc Agents for Roleplay mode.	이야기의 의미를 바꾸지 않고 최신 Roleplay 응답을 세계관에 자연스럽게 녹아든 HTML/CSS/JS 시각 아티팩트로 후처리합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 기타 에이전트에 에이전트를 추가하세요.	medium	"diegetic을 설명형으로 풀어 썼으며 ""시각 아티팩트""는 기술적 뉘앙스를 보존하기 위한 선택입니다."
inventory-tracker	tracker	Inventory Tracker	인벤토리 트래커	Tracks currencies, equipped gear, and carried items as separate structured lists with compact quantities. Add the Agent in Chat Settings → Agents → Tracker Agents for Roleplay mode.	화폐, 장착 장비, 소지품을 간결한 수량과 함께 각각 별도의 구조화된 목록으로 추적합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 트래커 에이전트에 에이전트를 추가하세요.	medium	현재 일부 한국어 UI는 제품명 Inventory Tracker를 영문으로 유지하므로 표시명 일치 여부를 확인해야 합니다.
knowledge-retrieval	writer	Knowledge Retrieval	지식 검색	Scans specified lorebooks for information relevant to the current conversation, summarizes the key data, and injects it into the prompt — a lightweight RAG pipeline without vector databases. Add the Agent in Chat Settings → Agents → Writer Agents for Roleplay mode.	지정한 로어북에서 현재 대화와 관련된 정보를 검색하고, 핵심 데이터를 요약해 프롬프트에 주입합니다. 벡터 데이터베이스 없이 사용하는 가벼운 RAG 파이프라인입니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 작가 에이전트에 에이전트를 추가하세요.	high	RAG는 기술 약어로 유지했습니다.
knowledge-router	writer	Knowledge Router	지식 라우터	Lower-cost alternative to Knowledge Retrieval. Reads a short catalog of lorebook entries (descriptions or content snippets), picks which ones are relevant to the current scene, and injects them verbatim — no per-entry summarization passes. Best for large lorebooks where you've written entry descriptions. Add the Agent in Chat Settings → Agents → Writer Agents for Roleplay mode.	지식 검색보다 비용이 적게 드는 대안입니다. 로어북 항목의 짧은 카탈로그(설명 또는 콘텐츠 스니펫)를 읽고 현재 장면과 관련된 항목을 골라 요약 없이 그대로 주입합니다. 항목 설명을 작성해 둔 대형 로어북에 가장 적합합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 작가 에이전트에 에이전트를 추가하세요.	high	"verbatim을 ""그대로""로 옮겼으며 항목별 요약 패스를 생략한다는 의미를 보존했습니다."
long-term-memory	misc	Long-Term Memory	장기 기억	Extracts durable memories from chat summaries, character records, and lorebooks, then recalls relevant context from a package-owned vault. Enable it per chat from Chat Settings → Agents → Long-Term Memory. In Roleplay and Game, you can also add it from Chat Settings → Agents → Misc Agents.	채팅 요약, 캐릭터 기록, 로어북에서 오래 유지할 기억을 추출한 다음 패키지 전용 보관소에서 관련 컨텍스트를 불러옵니다. 채팅 설정 → 에이전트 → 장기 기억에서 채팅별로 활성화하세요. Roleplay와 Game에서는 채팅 설정 → 에이전트 → 기타 에이전트에서도 추가할 수 있습니다.	medium	"package-owned vault는 소유권과 격리를 드러내도록 ""패키지 전용 보관소""로 옮겼습니다."
lorebook-keeper	misc	Lorebook Keeper	로어북 키퍼	Creates and updates durable chat lorebook entries from important story facts, characters, places, and world changes. Add the Agent in Chat Settings → Agents → Misc Agents/Lorebook Keeper for Roleplay and Game modes.	중요한 이야기 사실, 캐릭터, 장소, 세계의 변화를 바탕으로 오래 유지할 채팅 로어북 항목을 만들고 업데이트합니다. Roleplay 및 Game 모드에서 채팅 설정 → 에이전트 → 기타 에이전트/로어북 키퍼에 에이전트를 추가하세요.	high	"현재 한국어 UI 일부는 Lorebook Keeper를 영문으로 유지하지만 과거 용어와 설정 화면의 ""로어북 키퍼""를 우선했습니다."
memory-nag	tracker	Memory Nag	Memory Nag	Keeps a short per-chat vault of roleplay memories and recalls only the unresolved details that matter to the current turn. Add the Agent in Chat Settings → Agents → Tracker Agents for Roleplay mode. Once active, configure it in its standalone Memory Nag section.	짧은 채팅별 보관소에 롤플레이 기억을 유지하고, 현재 턴에 중요한 미해결 세부 정보만 불러옵니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 트래커 에이전트에 에이전트를 추가하세요. 활성화한 뒤 독립된 Memory Nag 섹션에서 설정하세요.	medium	Nag의 뉘앙스를 자연스럽고 안정적으로 옮기기 어려워 제품명 Memory Nag를 유지했습니다.
spotify	misc	Music DJ	Music DJ	Analyzes the narrative mood and plays matching music through Spotify, YouTube, or local Game Assets music. Enable the music player in Settings → General. Add both as a Command and an Agent in Chat Settings → Agents → Commands/Misc Agents/Music DJ for Conversation, Roleplay, and Game modes.	서사의 분위기를 분석하고 Spotify, YouTube 또는 로컬 게임 에셋 음악을 통해 어울리는 음악을 재생합니다. 설정 → 일반에서 음악 플레이어를 활성화하세요. Conversation, Roleplay, Game 모드에서 채팅 설정 → 에이전트 → 명령어/기타 에이전트/Music DJ에 명령어와 에이전트로 모두 추가하세요.	high	Music DJ, Spotify, YouTube는 제품명으로 유지했습니다.
director	writer	Narrative Director	네러티브 디렉터	Creates one-shot story directions when you choose to push the next response forward. Add the Agent in Chat Settings → Agents → Writer Agents for Roleplay mode.	다음 응답의 전개를 밀어붙이기로 선택했을 때 일회성 이야기 방향을 생성합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 작가 에이전트에 에이전트를 추가하세요.	medium	"과거 용어 ""네러티브 디렉터""를 유지했습니다. 표준 외래어 표기 ""내러티브""와 차이가 있습니다."
noodle	misc	Noodle	Noodle	Explore the Noodle public timeline as an optional local social world. Install it, restart Marinara Engine when prompted, then open Home → Noodle.	Noodle 공개 타임라인을 선택형 로컬 소셜 세계로 만나 보세요. 패키지를 설치하고 안내에 따라 Marinara Engine을 다시 시작한 다음 홈 → Noodle을 여세요.	high	없음(공식 ko 매니페스트 필드를 그대로 유지했습니다).
persona-stats	tracker	Persona Stats	페르소나 스탯	Tracks the player persona's status bars — Satiety, Energy, Hygiene, and other custom stats — with realistic changes based on narrative events. Add the Agent in Chat Settings → Agents → Tracker Agents for Roleplay mode.	플레이어 페르소나의 상태 막대(포만감, 에너지, 위생 및 기타 사용자 지정 스탯)를 서사 사건에 따른 현실적인 변화와 함께 추적합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 트래커 에이전트에 에이전트를 추가하세요.	high	"Satiety는 게임 UI에서 자연스러운 ""포만감""으로 옮겼습니다."
poker	misc	Poker	포커	Play Texas Hold’em Poker with Conversation characters. Install to use /poker manually in any Conversation chat. Add under Chat Settings → Agents → Commands only to let characters initiate it.	Conversation 캐릭터와 Texas Hold’em Poker를 플레이합니다. 어느 Conversation 채팅에서나 /poker를 수동으로 사용하려면 설치하세요. 캐릭터가 게임을 시작할 수 있게 하려는 경우에만 채팅 설정 → 에이전트 → 명령어에 추가하세요.	medium	"표시명 ""포커""는 설명의 구체적 변형인 Texas Hold’em Poker보다 범위가 넓습니다."
prose-guardian	writer	Prose Guardian	프로즈 가디언	Post-processes the latest assistant message to remove banned words, repetition, and unwanted prose habits without changing the meaning. Add the Agent in Chat Settings → Agents → Writer Agents for Roleplay mode.	의미를 바꾸지 않고 최신 어시스턴트 메시지를 후처리하여 금지어, 반복, 원하지 않는 문체 습관을 제거합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 작가 에이전트에 에이전트를 추가하세요.	high	과거 용어와 일치합니다.
quest	tracker	Quest Tracker	퀘스트 트래커	Manages quest objectives, completion states, and rewards. Add the Agent in Chat Settings → Agents → Tracker Agents for Roleplay mode.	퀘스트 목표, 완료 상태, 보상을 관리합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 트래커 에이전트에 에이전트를 추가하세요.	high	과거 용어와 일치합니다.
rock-paper-scissors	misc	Rock-Paper-Scissors	가위바위보	Play Rock-Paper-Scissors with a Conversation character. Install to use /rps manually in any Conversation chat. Add under Chat Settings → Agents → Commands only to let characters initiate it.	Conversation 캐릭터와 가위바위보를 플레이합니다. 어느 Conversation 채팅에서나 /rps를 수동으로 사용하려면 설치하세요. 캐릭터가 게임을 시작할 수 있게 하려는 경우에만 채팅 설정 → 에이전트 → 명령어에 추가하세요.	high	"영문 표시명의 하이픈 구조는 한국어 고정어 ""가위바위보""에서 사라지지만 게임 의미는 명확합니다."
slurp	misc	Slurp	Slurp	The standalone successor to NoodleR: create a local Creator profile from an Engine character or persona, publish public or locked posts, and simulate subscriptions and audience activity. Install it, restart Marinara Engine when prompted, then open Home → Slurp.	Engine 캐릭터나 Engine 페르소나로 로컬 크리에이터 프로필을 만들고, 공개 또는 잠긴 Slurp 게시물을 게시하며, 구독 및 청중 활동을 시뮬레이션합니다. 패키지를 설치하고 안내에 따라 Marinara Engine을 다시 시작한 다음 홈 → Slurp를 여세요.	high	없음(공식 ko 매니페스트 필드를 그대로 유지했습니다).
storyboard	misc	Storyboard	스토리보드	Plans still or animated Game and Roleplay storyboards with separate planning prompts and shared provider formatters. Add the Agent in Chat Settings → Agents → Misc Agents/Storyboard for Roleplay and Game modes.	별도의 기획 프롬프트와 공용 제공자 포맷터를 사용하여 정지 또는 애니메이션 Game 및 Roleplay 스토리보드를 계획합니다. Roleplay 및 Game 모드에서 채팅 설정 → 에이전트 → 기타 에이전트/스토리보드에 에이전트를 추가하세요.	medium	"still은 현재 UI 용어에 따라 ""정지""로 옮겼습니다. 첫 문장의 Game/Roleplay는 모드 이름으로 영문 유지했습니다."
tic-tac-toe	misc	Tic-Tac-Toe	틱택토	Play Tic-Tac-Toe with a Conversation character. Install to use /tictactoe manually in any Conversation chat. Add under Chat Settings → Agents → Commands only to let characters initiate it.	Conversation 캐릭터와 틱택토를 플레이합니다. 어느 Conversation 채팅에서나 /tictactoe를 수동으로 사용하려면 설치하세요. 캐릭터가 게임을 시작할 수 있게 하려는 경우에만 채팅 설정 → 에이전트 → 명령어에 추가하세요.	high	"틱택토와 ""삼목"" 중 국내 소프트웨어에서 더 익숙한 외래어 표기를 택했습니다."
uno	misc	UNO	UNO	Play UNO with Conversation characters. Install to use /uno manually in any Conversation chat. Add under Chat Settings → Agents → Commands only to let characters initiate it.	Conversation 캐릭터와 UNO를 플레이합니다. 어느 Conversation 채팅에서나 /uno를 수동으로 사용하려면 설치하세요. 캐릭터가 게임을 시작할 수 있게 하려는 경우에만 채팅 설정 → 에이전트 → 명령어에 추가하세요.	medium	"제품명 보존을 위해 과거 용어집의 ""우노"" 대신 공식 대문자 표기 UNO를 권고했습니다."
hierarchical-maps	tracker	World Maps	World Maps	Adds persistent hierarchical locations, durable shared worlds, reusable artwork, customizable Direct Link lines, and movement to Roleplay and Game. Add the Agent in Chat Settings → Agents → Tracker Agents for Roleplay and Game modes.	Roleplay와 Game에 지속되는 계층형 위치, 오래 유지되는 공유 세계, 재사용 가능한 아트워크, 사용자 지정 가능한 Direct Link 선, 이동 기능을 추가합니다. Roleplay 및 Game 모드에서 채팅 설정 → 에이전트 → 트래커 에이전트에 에이전트를 추가하세요.	high	현재 한국어 UI에서 제품명 World Maps를 영문으로 유지하므로 그대로 권고했습니다. Direct Link도 기능명으로 보존했습니다.
world-state	tracker	World State	월드 트래커	Tracks date, time, weather, location, temperature, and custom world details automatically. Add the Agent in Chat Settings → Agents → Tracker Agents for Roleplay mode.	날짜, 시간, 날씨, 장소, 온도, 사용자 지정 월드 세부 정보를 자동으로 추적합니다. Roleplay 모드에서 채팅 설정 → 에이전트 → 트래커 에이전트에 에이전트를 추가하세요.	high	"영문명 World State와 직역은 다르지만 기존 한국어 기능명 ""월드 트래커""를 유지했습니다."
